Issues: 37
sc-s56 NO-CAT-EOF
sc-s57 NO-CAT-EOF
sc-s58 NO-CAT-EOF
sc-s59 NO-CAT-EOF
sc-s60 NO-CAT-EOF
sc-s61 NO-CAT-EOF
sc-s62 NO-CAT-EOF
sc-s63 NO-CAT-EOF
sc-s64 NO-CAT-EOF
sc-s65 NO-CAT-EOF
sc-s67 NO-CAT-EOF
sc-s68 NO-CAT-EOF
sc-s69 NO-CAT-EOF
sc-s70 NO-CAT-EOF
sc-s71 NO-CAT-EOF
sc-s72 NO-CAT-EOF
sc-s74 NO-CAT-EOF
sc-s76 NO-CAT-EOF
sc-s77 NO-CAT-EOF,NO-AFTER
sc-s78 NO-CAT-EOF
sc-s79 NO-CAT-EOF
sc-s80 NO-AFTER
sc-s81 NO-CAT-EOF,NO-TENET
sc-s82 NO-CAT-EOF,NO-TENET
sc-s83 NO-CAT-EOF,NO-AFTER,NO-TENET
sc-s84 NO-CAT-EOF,NO-AFTER,NO-TENET
sc-s85 NO-CAT-EOF,NO-TENET
sc-s86 NO-CAT-EOF,NO-TENET
sc-s87 NO-TENET
sc-s88 NO-CAT-EOF,NO-TENET
sc-s93 NO-TENET
sc-s94 NO-CAT-EOF,NO-TENET
sc-s95 NO-TENET
sc-s96 NO-CAT-EOF,NO-TENET
sc-s97 NO-CAT-EOF
sc-s99 NO-CAT-EOF,NO-AFTER,NO-TENET
sc-s100 NO-PROBLEM,NO-CAT-EOF,NO-TENET
